pr_articul,pr_categories,pr_header,pr_price,pr_stock,pr_url,pr_weight
"
                            121000101
                        ","Rohrverbindungen, Verschraubungen, ","
                    BLINDMUTTER KNOPF DN 10 304 BL.
                ","
                    Katalogpreis: 20,35 €*
                ","
                    Auf Lager.
                ",https://shop.ms-armaturen.de/BLINDMUTTER-KNOPF-DN-10-304-BL./121000101,"
            0.092 kg
        "
"
                            120001253
                        ","Rohrverbindungen, Verschraubungen, ","
                    BLINDMUTTER DN 125 316L POL.
                ","
                    Katalogpreis: 120,15 €*
                ","
                    Auf Lager.
                ",https://shop.ms-armaturen.de/BLINDMUTTER-DN-125-316L-POL./120001253,"
            2.15 kg
        "
"
                            120000803
                        ","Rohrverbindungen, Verschraubungen, ","
                    BLINDMUTTER DN 80 316L POL.
                ","
                    Katalogpreis: 47,05 €*
                ","
                    Auf Lager.
                ",https://shop.ms-armaturen.de/BLINDMUTTER-DN-80-316L-POL./120000803,"
            0.983 kg
        "
"
                            120001001
                        ","Rohrverbindungen, Verschraubungen, ","
                    BLINDMUTTER DN 100/4"" 304 POL.
                ","
                    Katalogpreis: 49,15 €*
                ","
                    Auf Lager.
                ",https://shop.ms-armaturen.de/BLINDMUTTER-DN-100-4-304-POL./120001001,"
            1.432 kg
        "
"
                            118020801
                        ","Rohrverbindungen, Verschraubungen, ","
                    BLECH-BLINDKEGEL DN 80 304 POL.
                ","
                    Katalogpreis: 11,70 €*
                ","
                    Auf Lager.
                ",https://shop.ms-armaturen.de/BLECH-BLINDKEGEL-DN-80-304-POL./118020801,"
            0.119 kg
        "
"
                            120000801
                        ","Rohrverbindungen, Verschraubungen, ","
                    BLINDMUTTER DN 80 304 POL.
                ","
                    Katalogpreis: 34,20 €*
                ","
                    Auf Lager.
                ",https://shop.ms-armaturen.de/BLINDMUTTER-DN-80-304-POL./120000801,"
            0.986 kg
        "
"
                            120000651
                        ","Rohrverbindungen, Verschraubungen, ","
                    BLINDMUTTER DN 65/2,5"" 304 POL.
                ","
                    Katalogpreis: 23,50 €*
                ","
                    Auf Lager.
                ",https://shop.ms-armaturen.de/BLINDMUTTER-DN-65-2-5-304-POL./120000651,"
            0.723 kg
        "
"
                            120000503
                        ","Rohrverbindungen, Verschraubungen, ","
                    BLINDMUTTER DN 50/2"" 316L POL.
                ","
                    Katalogpreis: 21,75 €*
                ","
                    Auf Lager.
                ",https://shop.ms-armaturen.de/BLINDMUTTER-DN-50-2-316L-POL./120000503,"
            0.421 kg
        "
"
                            120000501
                        ","Rohrverbindungen, Verschraubungen, ","
                    BLINDMUTTER DN 50/2"" 304 POL.
                ","
                    Katalogpreis: 15,75 €*
                ","
                    Auf Lager.
                ",https://shop.ms-armaturen.de/BLINDMUTTER-DN-50-2-304-POL./120000501,"
            0.412 kg
        "
"
                            120000751
                        ","Rohrverbindungen, Verschraubungen, ","
                    BLINDMUTTER DN 75/3"" 304 POL.
                ","
                    Katalogpreis: 37,75 €*
                ","
                    Auf Lager.
                ",https://shop.ms-armaturen.de/BLINDMUTTER-DN-75-3-304-POL./120000751,"
            0.742 kg
        "
"
                            120000653
                        ","Rohrverbindungen, Verschraubungen, ","
                    BLINDMUTTER DN 65/2,5"" 316L POL.
                ","
                    Katalogpreis: 29,90 €*
                ","
                    Auf Lager.
                ",https://shop.ms-armaturen.de/BLINDMUTTER-DN-65-2-5-316L-POL./120000653,"
            0.66 kg
        "
"
                            120000403
                        ","Rohrverbindungen, Verschraubungen, ","
                    BLINDMUTTER DN 40/1,5"" 316L POL.
                ","
                    Katalogpreis: 18,65 €*
                ","
                    Auf Lager.
                ",https://shop.ms-armaturen.de/BLINDMUTTER-DN-40-1-5-316L-POL./120000403,"
            0.307 kg
        "
"
                            120000401
                        ","Rohrverbindungen, Verschraubungen, ","
                    BLINDMUTTER DN 40/1,5"" 304 POL.
                ","
                    Katalogpreis: 14,50 €*
                ","
                    Auf Lager.
                ",https://shop.ms-armaturen.de/BLINDMUTTER-DN-40-1-5-304-POL./120000401,"
            0.297 kg
        "
"
                            120000323
                        ","Rohrverbindungen, Verschraubungen, ","
                    BLINDMUTTER DN 32/1,25"" 316L POL.
                ","
                    Katalogpreis: 18,75 €*
                ","
                    Auf Lager.
                ",https://shop.ms-armaturen.de/BLINDMUTTER-DN-32-1-25-316L-POL./120000323,"
            0.242 kg
        "
"
                            120000753
                        ","Rohrverbindungen, Verschraubungen, ","
                    BLINDMUTTER DN 75/3"" 316L POL.
                ","
                    Katalogpreis: 52,40 €*
                ","
                    Auf Lager.
                ",https://shop.ms-armaturen.de/BLINDMUTTER-DN-75-3-316L-POL./120000753,"
            0.77 kg
        "
"
                            040031203804
                        ","Rohrverbindungen, Verschraubungen, ","
                    VERSCHRAUBUNG SS 3/8"" 316/316Ti KONISCH DICHTEND
                ","
                    Katalogpreis: 9,60 €*
                ","
                    Derzeit nicht auf Lager.,
                    Bitte wenden Sie sich an Ihren zuständigen M&S Vertriebsmitarbeiter
                ",https://shop.ms-armaturen.de/VERSCHRAUBUNG-SS-3-8-316-316Ti-KONISCH-DICHTEND/040031203804,"
            0.128 kg
        "
"
                            040031240024
                        ","Rohrverbindungen, Verschraubungen, ","
                    VERSCHRAUBUNG IG-AG Rp/R4"" 316/316Ti KONISCH DICHTEND
                ","
                    Katalogpreis: 148,55 €*
                ","
                    Derzeit nicht auf Lager.,
                    Bitte wenden Sie sich an Ihren zuständigen M&S Vertriebsmitarbeiter
                ",https://shop.ms-armaturen.de/VERSCHRAUBUNG-IG-AG-Rp-R4-316-316Ti-KONISCH-DICHTEND/040031240024,
"
                            120000321
                        ","Rohrverbindungen, Verschraubungen, ","
                    BLINDMUTTER DN 32/1,25"" 304 POL.
                ","
                    Katalogpreis: 14,45 €*
                ","
                    Auf Lager.
                ",https://shop.ms-armaturen.de/BLINDMUTTER-DN-32-1-25-304-POL./120000321,"
            0.245 kg
        "
"
                            091011204501
                        ","Rohrverbindungen, Verschraubungen, ","
                    HyCom-ZENTRIERRING DN25 304 BL FÜR VERSCHR. DIN11851
                ","
                    Katalogpreis: 8,35 €*
                ","
                    Auf Lager.
                ",https://shop.ms-armaturen.de/HyCom-ZENTRIERRING-DN25-304-BL-FUER-VERSCHR.-DIN11851/091011204501,"
            0.013 kg
        "
"
                            040031240004
                        ","Rohrverbindungen, Verschraubungen, ","
                    VERSCHRAUBUNG SS 4"" 316/316Ti KONISCH DICHTEND
                ","
                    Katalogpreis: 148,55 €*
                ","
                    Derzeit nicht auf Lager.,
                    Bitte wenden Sie sich an Ihren zuständigen M&S Vertriebsmitarbeiter
                ",https://shop.ms-armaturen.de/VERSCHRAUBUNG-SS-4-316-316Ti-KONISCH-DICHTEND/040031240004,
"
                            040031230024
                        ","Rohrverbindungen, Verschraubungen, ","
                    VERSCHRAUBUNG IG-AG Rp/R3"" 316/316Ti KONISCH DICHTEND
                ","
                    Katalogpreis: 102,92 €*
                ","
                    Derzeit nicht auf Lager.,
                    Bitte wenden Sie sich an Ihren zuständigen M&S Vertriebsmitarbeiter
                ",https://shop.ms-armaturen.de/VERSCHRAUBUNG-IG-AG-Rp-R3-316-316Ti-KONISCH-DICHTEND/040031230024,
"
                            040031230014
                        ","Rohrverbindungen, Verschraubungen, ","
                    VERSCHRAUBUNG IG-IG Rp3"" 316/316Ti KONISCH DICHTEND
                ","
                    Katalogpreis: 102,92 €*
                ","
                    Derzeit nicht auf Lager.,
                    Bitte wenden Sie sich an Ihren zuständigen M&S Vertriebsmitarbeiter
                ",https://shop.ms-armaturen.de/VERSCHRAUBUNG-IG-IG-Rp3-316-316Ti-KONISCH-DICHTEND/040031230014,"
            2.28 kg
        "
"
                            040031221224
                        ","Rohrverbindungen, Verschraubungen, ","
                    VERSCHRAUBUNG IG-AG Rp/R2.1/2"" 316/316Ti KONISCH DICHTEND
                ","
                    Katalogpreis: 72,15 €*
                ","
                    Derzeit nicht auf Lager.,
                    Bitte wenden Sie sich an Ihren zuständigen M&S Vertriebsmitarbeiter
                ",https://shop.ms-armaturen.de/VERSCHRAUBUNG-IG-AG-Rp-R2.1-2-316-316Ti-KONISCH-DICHTEND/040031221224,
"
                            040031230004
                        ","Rohrverbindungen, Verschraubungen, ","
                    VERSCHRAUBUNG SS 3"" 316/316Ti KONISCH DICHTEND
                ","
                    Katalogpreis: 102,92 €*
                ","
                    Derzeit nicht auf Lager.,
                    Bitte wenden Sie sich an Ihren zuständigen M&S Vertriebsmitarbeiter
                ",https://shop.ms-armaturen.de/VERSCHRAUBUNG-SS-3-316-316Ti-KONISCH-DICHTEND/040031230004,
"
                            040031221214
                        ","Rohrverbindungen, Verschraubungen, ","
                    VERSCHRAUBUNG IG-IG Rp2.1/2"" 316/316Ti KONISCH DICHTEND
                ","
                    Katalogpreis: 72,15 €*
                ","
                    Derzeit nicht auf Lager.,
                    Bitte wenden Sie sich an Ihren zuständigen M&S Vertriebsmitarbeiter
                ",https://shop.ms-armaturen.de/VERSCHRAUBUNG-IG-IG-Rp2.1-2-316-316Ti-KONISCH-DICHTEND/040031221214,"
            1.96 kg
        "
"
                            040031221204
                        ","Rohrverbindungen, Verschraubungen, ","
                    VERSCHRAUBUNG SS 2.1/2"" 316/316Ti KONISCH DICHTEND
                ","
                    Katalogpreis: 72,15 €*
                ","
                    Derzeit nicht auf Lager.,
                    Bitte wenden Sie sich an Ihren zuständigen M&S Vertriebsmitarbeiter
                ",https://shop.ms-armaturen.de/VERSCHRAUBUNG-SS-2.1-2-316-316Ti-KONISCH-DICHTEND/040031221204,
"
                            040031220024
                        ","Rohrverbindungen, Verschraubungen, ","
                    VERSCHRAUBUNG IG-AG Rp/R2"" 316/316Ti KONISCH DICHTEND
                ","
                    Katalogpreis: 41,19 €*
                ","
                    Derzeit nicht auf Lager.,
                    Bitte wenden Sie sich an Ihren zuständigen M&S Vertriebsmitarbeiter
                ",https://shop.ms-armaturen.de/VERSCHRAUBUNG-IG-AG-Rp-R2-316-316Ti-KONISCH-DICHTEND/040031220024,
"
                            040031220014
                        ","Rohrverbindungen, Verschraubungen, ","
                    VERSCHRAUBUNG IG-IG Rp2"" 316/316Ti KONISCH DICHTEND
                ","
                    Katalogpreis: 36,57 €*
                ","
                    Auf Lager.
                ",https://shop.ms-armaturen.de/VERSCHRAUBUNG-IG-IG-Rp2-316-316Ti-KONISCH-DICHTEND/040031220014,"
            1.303 kg
        "
"
                            040031220004
                        ","Rohrverbindungen, Verschraubungen, ","
                    VERSCHRAUBUNG SS 2"" 316/316Ti KONISCH DICHTEND
                ","
                    Katalogpreis: 35,04 €*
                ","
                    Derzeit nicht auf Lager.,
                    Bitte wenden Sie sich an Ihren zuständigen M&S Vertriebsmitarbeiter
                ",https://shop.ms-armaturen.de/VERSCHRAUBUNG-SS-2-316-316Ti-KONISCH-DICHTEND/040031220004,"
            1.366 kg
        "
"
                            040031211424
                        ","Rohrverbindungen, Verschraubungen, ","
                    VERSCHRAUBUNG IG-AG Rp/R1.1/4"" 316/316Ti KONISCH DICHTEND
                ","
                    Katalogpreis: 24,60 €*
                ","
                    Derzeit nicht auf Lager.,
                    Bitte wenden Sie sich an Ihren zuständigen M&S Vertriebsmitarbeiter
                ",https://shop.ms-armaturen.de/VERSCHRAUBUNG-IG-AG-Rp-R1.1-4-316-316Ti-KONISCH-DICHTEND/040031211424,
"
                            040031211414
                        ","Rohrverbindungen, Verschraubungen, ","
                    VERSCHRAUBUNG IG-IG Rp1.1/4"" 316/316Ti KONISCH DICHTEND
                ","
                    Katalogpreis: 21,20 €*
                ","
                    Auf Lager.
                ",https://shop.ms-armaturen.de/VERSCHRAUBUNG-IG-IG-Rp1.1-4-316-316Ti-KONISCH-DICHTEND/040031211414,"
            0.516 kg
        "
"
                            040031211404
                        ","Rohrverbindungen, Verschraubungen, ","
                    VERSCHRAUBUNG SS 1.1/4"" 316/316Ti KONISCH DICHTEND
                ","
                    Katalogpreis: 20,93 €*
                ","
                    Derzeit nicht auf Lager.,
                    Bitte wenden Sie sich an Ihren zuständigen M&S Vertriebsmitarbeiter
                ",https://shop.ms-armaturen.de/VERSCHRAUBUNG-SS-1.1-4-316-316Ti-KONISCH-DICHTEND/040031211404,
"
                            040031211224
                        ","Rohrverbindungen, Verschraubungen, ","
                    VERSCHRAUBUNG IG-AG Rp/R1.1/2"" 316/316Ti KONISCH DICHTEND
                ","
                    Katalogpreis: 32,78 €*
                ","
                    Derzeit nicht auf Lager.,
                    Bitte wenden Sie sich an Ihren zuständigen M&S Vertriebsmitarbeiter
                ",https://shop.ms-armaturen.de/VERSCHRAUBUNG-IG-AG-Rp-R1.1-2-316-316Ti-KONISCH-DICHTEND/040031211224,
"
                            040031211214
                        ","Rohrverbindungen, Verschraubungen, ","
                    VERSCHRAUBUNG IG-IG Rp1.1/2"" 316/316Ti KONISCH DICHTEND
                ","
                    Katalogpreis: 28,06 €*
                ","
                    Auf Lager.
                ",https://shop.ms-armaturen.de/VERSCHRAUBUNG-IG-IG-Rp1.1-2-316-316Ti-KONISCH-DICHTEND/040031211214,"
            0.878 kg
        "
"
                            040031210024
                        ","Rohrverbindungen, Verschraubungen, ","
                    VERSCHRAUBUNG IG-AG Rp/R1"" 316/316Ti KONISCH DICHTEND
                ","
                    Katalogpreis: 17,71 €*
                ","
                    Derzeit nicht auf Lager.,
                    Bitte wenden Sie sich an Ihren zuständigen M&S Vertriebsmitarbeiter
                ",https://shop.ms-armaturen.de/VERSCHRAUBUNG-IG-AG-Rp-R1-316-316Ti-KONISCH-DICHTEND/040031210024,
"
                            040031211204
                        ","Rohrverbindungen, Verschraubungen, ","
                    VERSCHRAUBUNG SS 1.1/2"" 316/316Ti KONISCH DICHTEND
                ","
                    Katalogpreis: 27,89 €*
                ","
                    Auf Lager.
                ",https://shop.ms-armaturen.de/VERSCHRAUBUNG-SS-1.1-2-316-316Ti-KONISCH-DICHTEND/040031211204,"
            0.445 kg
        "
"
                            040031210004
                        ","Rohrverbindungen, Verschraubungen, ","
                    VERSCHRAUBUNG SS 1"" 316/316Ti KONISCH DICHTEND
                ","
                    Katalogpreis: 16,13 €*
                ","
                    Auf Lager.
                ",https://shop.ms-armaturen.de/VERSCHRAUBUNG-SS-1-316-316Ti-KONISCH-DICHTEND/040031210004,"
            0.278 kg
        "
"
                            040031203824
                        ","Rohrverbindungen, Verschraubungen, ","
                    VERSCHRAUBUNG IG-AG Rp/R3/8"" 316/316Ti KONISCH DICHTEND
                ","
                    Katalogpreis: 9,60 €*
                ","
                    Derzeit nicht auf Lager.,
                    Bitte wenden Sie sich an Ihren zuständigen M&S Vertriebsmitarbeiter
                ",https://shop.ms-armaturen.de/VERSCHRAUBUNG-IG-AG-Rp-R3-8-316-316Ti-KONISCH-DICHTEND/040031203824,
"
                            040031210014
                        ","Rohrverbindungen, Verschraubungen, ","
                    VERSCHRAUBUNG IG-IG Rp1"" 316/316Ti KONISCH DICHTEND
                ","
                    Katalogpreis: 16,13 €*
                ","
                    Auf Lager.
                ",https://shop.ms-armaturen.de/VERSCHRAUBUNG-IG-IG-Rp1-316-316Ti-KONISCH-DICHTEND/040031210014,"
            0.292 kg
        "
"
                            040031203814
                        ","Rohrverbindungen, Verschraubungen, ","
                    VERSCHRAUBUNG IG-IG Rp3/8"" 316/316Ti KONISCH DICHTEND
                ","
                    Katalogpreis: 9,60 €*
                ","
                    Derzeit nicht auf Lager.,
                    Bitte wenden Sie sich an Ihren zuständigen M&S Vertriebsmitarbeiter
                ",https://shop.ms-armaturen.de/VERSCHRAUBUNG-IG-IG-Rp3-8-316-316Ti-KONISCH-DICHTEND/040031203814,"
            0.13 kg
        "
"
                            120000253
                        ","Rohrverbindungen, Verschraubungen, ","
                    BLINDMUTTER DN 25/1"" 316L POL.
                ","
                    Katalogpreis: 17,70 €*
                ","
                    Auf Lager.
                ",https://shop.ms-armaturen.de/BLINDMUTTER-DN-25-1-316L-POL./120000253,"
            0.205 kg
        "
"
                            120000251
                        ","Rohrverbindungen, Verschraubungen, ","
                    BLINDMUTTER DN 25/1"" 304 POL.
                ","
                    Katalogpreis: 13,30 €*
                ","
                    Auf Lager.
                ",https://shop.ms-armaturen.de/BLINDMUTTER-DN-25-1-304-POL./120000251,"
            0.199 kg
        "
"
                            118000653
                        ","Rohrverbindungen, Verschraubungen, ","
                    BLINDKEGEL MASSIV DN 65/2,5"" 316L BL.
                ","
                    Katalogpreis: 25,60 €*
                ","
                    Auf Lager.
                ",https://shop.ms-armaturen.de/BLINDKEGEL-MASSIV-DN-65-2-5-316L-BL./118000653,"
            0.671 kg
        "
"
                            118000801
                        ","Rohrverbindungen, Verschraubungen, ","
                    BLINDKEGEL MASSIV DN 80 304 BL.
                ","
                    Katalogpreis: 25,70 €*
                ","
                    Auf Lager.
                ",https://shop.ms-armaturen.de/BLINDKEGEL-MASSIV-DN-80-304-BL./118000801,"
            0.922 kg
        "
"
                            120000201
                        ","Rohrverbindungen, Verschraubungen, ","
                    BLINDMUTTER DN 20 304 POL.
                ","
                    Katalogpreis: 15,15 €*
                ","
                    Auf Lager.
                ",https://shop.ms-armaturen.de/BLINDMUTTER-DN-20-304-POL./120000201,"
            0.14 kg
        "
"
                            120000203
                        ","Rohrverbindungen, Verschraubungen, ","
                    BLINDMUTTER DN 20 316L POL.
                ","
                    Katalogpreis: 21,00 €*
                ","
                    Auf Lager.
                ",https://shop.ms-armaturen.de/BLINDMUTTER-DN-20-316L-POL./120000203,"
            0.149 kg
        "
"
                            120000153
                        ","Rohrverbindungen, Verschraubungen, ","
                    BLINDMUTTER DN 15 316L POL.
                ","
                    Katalogpreis: 23,00 €*
                ","
                    Auf Lager.
                ",https://shop.ms-armaturen.de/BLINDMUTTER-DN-15-316L-POL./120000153,"
            0.1 kg
        "
"
                            118000651
                        ","Rohrverbindungen, Verschraubungen, ","
                    BLINDKEGEL MASSIV DN 65/2,5"" 304 BL.
                ","
                    Katalogpreis: 19,55 €*
                ","
                    Auf Lager.
                ",https://shop.ms-armaturen.de/BLINDKEGEL-MASSIV-DN-65-2-5-304-BL./118000651,"
            0.669 kg
        "
"
                            118000503
                        ","Rohrverbindungen, Verschraubungen, ","
                    BLINDKEGEL MASSIV DN 50/2"" 316L BL.
                ","
                    Katalogpreis: 17,30 €*
                ","
                    Auf Lager.
                ",https://shop.ms-armaturen.de/BLINDKEGEL-MASSIV-DN-50-2-316L-BL./118000503,"
            0.369 kg
        "
"
                            118000501
                        ","Rohrverbindungen, Verschraubungen, ","
                    BLINDKEGEL MASSIV DN 50/2"" 304 BL.
                ","
                    Katalogpreis: 13,30 €*
                ","
                    Auf Lager.
                ",https://shop.ms-armaturen.de/BLINDKEGEL-MASSIV-DN-50-2-304-BL./118000501,"
            0.365 kg
        "
"
                            118000401
                        ","Rohrverbindungen, Verschraubungen, ","
                    BLINDKEGEL MASSIV DN 40/1,5"" 304 BL.
                ","
                    Katalogpreis: 11,70 €*
                ","
                    Auf Lager.
                ",https://shop.ms-armaturen.de/BLINDKEGEL-MASSIV-DN-40-1-5-304-BL./118000401,"
            0.221 kg
        "
"
                            118000403
                        ","Rohrverbindungen, Verschraubungen, ","
                    BLINDKEGEL MASSIV DN 40/1,5"" 316L BL.
                ","
                    Katalogpreis: 14,85 €*
                ","
                    Auf Lager.
                ",https://shop.ms-armaturen.de/BLINDKEGEL-MASSIV-DN-40-1-5-316L-BL./118000403,"
            0.223 kg
        "
"
                            118000321
                        ","Rohrverbindungen, Verschraubungen, ","
                    BLINDKEGEL MASSIV DN 32/1,25"" 304 BL.
                ","
                    Katalogpreis: 10,65 €*
                ","
                    Auf Lager.
                ",https://shop.ms-armaturen.de/BLINDKEGEL-MASSIV-DN-32-1-25-304-BL./118000321,"
            0.171 kg
        "
"
                            118000323
                        ","Rohrverbindungen, Verschraubungen, ","
                    BLINDKEGEL MASSIV DN 32/1,25"" 316L BL.
                ","
                    Katalogpreis: 13,35 €*
                ","
                    Auf Lager.
                ",https://shop.ms-armaturen.de/BLINDKEGEL-MASSIV-DN-32-1-25-316L-BL./118000323,"
            0.173 kg
        "
"
                            118000253
                        ","Rohrverbindungen, Verschraubungen, ","
                    BLINDKEGEL MASSIV DN 25/1"" 316L BL.
                ","
                    Katalogpreis: 12,00 €*
                ","
                    Auf Lager.
                ",https://shop.ms-armaturen.de/BLINDKEGEL-MASSIV-DN-25-1-316L-BL./118000253,"
            0.129 kg
        "
"
                            118000251
                        ","Rohrverbindungen, Verschraubungen, ","
                    BLINDKEGEL MASSIV DN 25/1"" 304 BL.
                ","
                    Katalogpreis: 9,75 €*
                ","
                    Auf Lager.
                ",https://shop.ms-armaturen.de/BLINDKEGEL-MASSIV-DN-25-1-304-BL./118000251,"
            0.129 kg
        "
"
                            118000203
                        ","Rohrverbindungen, Verschraubungen, ","
                    BLINDKEGEL MASSIV DN 20 316L BL.
                ","
                    Katalogpreis: 11,75 €*
                ","
                    Auf Lager.
                ",https://shop.ms-armaturen.de/BLINDKEGEL-MASSIV-DN-20-316L-BL./118000203,"
            0.076 kg
        "
"
                            118000201
                        ","Rohrverbindungen, Verschraubungen, ","
                    BLINDKEGEL MASSIV DN 20 304 BL.
                ","
                    Katalogpreis: 9,60 €*
                ","
                    Auf Lager.
                ",https://shop.ms-armaturen.de/BLINDKEGEL-MASSIV-DN-20-304-BL./118000201,"
            0.075 kg
        "
